borrower_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,persona,cluster,predicted_prob,risk_tier,recommended_action,loan_status
1,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0.1,N,2,Cautious Low-Income Borrower,0,0.0415979,Low, Auto-Approve,0
2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,0.57,N,3,At-Risk Young Borrower,1,0.9952779,Very High, Decline or Refer to Counselling,1
3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,0.53,N,2,At-Risk Young Borrower,1,0.9972404,Very High, Decline or Refer to Counselling,1
4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,0.55,Y,4,At-Risk Young Borrower,1,0.99879646,Very High, Decline or Refer to Counselling,1
5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,0.25,N,2,At-Risk Young Borrower,1,0.99751544,Very High, Decline or Refer to Counselling,1
6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,0.45,N,3,At-Risk Young Borrower,1,0.9938472,Very High, Decline or Refer to Counselling,1
7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,0.44,N,4,At-Risk Young Borrower,1,0.99555063,Very High, Decline or Refer to Counselling,1
8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,0.42,N,2,At-Risk Young Borrower,1,0.9703728,Very High, Decline or Refer to Counselling,1
9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,0.16,N,3,Cautious Low-Income Borrower,0,0.9868933,Very High, Decline or Refer to Counselling,1
10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,0.41,N,4,At-Risk Young Borrower,1,0.9824411,Very High, Decline or Refer to Counselling,1
11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,0.45,N,2,At-Risk Young Borrower,1,0.9997887,Very High, Decline or Refer to Counselling,1
12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,0.37,N,2,At-Risk Young Borrower,1,0.94025457,Very High, Decline or Refer to Counselling,1
13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,0.32,N,4,At-Risk Young Borrower,1,0.99280447,Very High, Decline or Refer to Counselling,1
14,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0.3,N,4,At-Risk Young Borrower,1,0.03916565,Low, Auto-Approve,0
15,23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0.06,N,3,Cautious Low-Income Borrower,0,0.052537385,Low, Auto-Approve,0
16,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0.29,N,4,At-Risk Young Borrower,1,0.028909102,Low, Auto-Approve,0
17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,0.32,N,4,At-Risk Young Borrower,1,0.9985447,Very High, Decline or Refer to Counselling,1
